first_bug_hit_ratio,second_bug_hit_ratio,file
0.13,0.48,1
0.13,0.5,5
0.13,0.55,4
0.13,0.56,1
0.13,0.59,1
0.13,0.64,1
0.13,0.75,1
0.14,0.0,115
0.14,0.02,10
0.14,0.03,21
0.14,0.04,23
0.14,0.05,37
0.14,0.06,45
0.14,0.07,34
0.14,0.08,40
0.14,0.09,33
0.14,0.1,33
0.14,0.11,26
0.14,0.12,19
0.14,0.13,30
0.14,0.14,33
0.14,0.15,31
0.14,0.16,19
0.14,0.17,34
0.14,0.18,27
0.14,0.19,10
0.14,0.2,37
0.14,0.21,10
0.14,0.22,7
0.14,0.23,14
0.14,0.24,18
0.14,0.25,22
0.14,0.26,5
0.14,0.27,11
0.14,0.28,3
0.14,0.29,12
0.14,0.3,6
0.14,0.31,2
0.14,0.32,2
0.14,0.33,6
0.14,0.35,5
0.14,0.36,8
0.14,0.37,2
0.14,0.38,4
0.14,0.39,2
0.14,0.4,5
0.14,0.41,1
0.14,0.42,1
0.14,0.43,1
0.14,0.44,1
0.14,0.45,1
0.14,0.5,3
0.14,0.52,1
0.14,0.55,1
0.14,0.57,1
0.14,0.58,1
0.14,0.64,1
0.14,0.67,1
0.14,0.75,1
0.15,0.0,119
0.15,0.02,6
0.15,0.03,20
0.15,0.04,16
0.15,0.05,29
0.15,0.06,41
0.15,0.07,35
0.15,0.08,59
0.15,0.09,31
0.15,0.1,32
0.15,0.11,27
0.15,0.12,26
0.15,0.13,31
0.15,0.14,29
0.15,0.15,34
0.15,0.16,13
0.15,0.17,36
0.15,0.18,26
0.15,0.19,14
0.15,0.2,25
0.15,0.21,14
0.15,0.22,7
0.15,0.23,9
0.15,0.24,12
0.15,0.25,13
0.15,0.26,8
0.15,0.27,14
0.15,0.28,4
0.15,0.29,10
0.15,0.3,12
0.15,0.31,8
0.15,0.32,5
0.15,0.33,8
0.15,0.35,1
0.15,0.36,4
0.15,0.37,3
0.15,0.38,4
0.15,0.39,1
0.15,0.4,6
0.15,0.42,4
0.15,0.44,1
0.15,0.45,1
0.15,0.46,3
0.15,0.47,1
