first_bug_hit_ratio,second_bug_hit_ratio,files
0.26,0.33,1
0.26,0.41,1
0.26,0.75,1
0.27,0,10
0.27,0.06,4
0.27,0.08,1
0.27,0.1,1
0.27,0.11,1
0.27,0.12,1
0.27,0.14,2
0.27,0.15,2
0.27,0.16,1
0.27,0.17,2
0.27,0.18,2
0.27,0.2,4
0.27,0.21,2
0.27,0.23,1
0.27,0.25,2
0.27,0.27,1
0.27,0.33,3
0.27,0.36,1
0.27,0.4,2
0.27,0.5,1
0.27,0.55,1
0.28,0.07,1
0.28,0.09,1
0.28,0.11,1
0.28,0.12,1
0.28,0.14,1
0.28,0.17,1
0.28,0.2,2
0.28,0.24,1
0.28,0.27,1
0.28,0.28,1
0.28,0.29,1
0.28,0.36,1
0.28,0.43,1
0.29,0,5
0.29,0.04,2
0.29,0.05,1
0.29,0.06,1
0.29,0.07,2
0.29,0.08,1
0.29,0.09,1
0.29,0.1,1
0.29,0.11,1
0.29,0.16,2
0.29,0.2,4
0.29,0.25,1
0.29,0.26,1
0.29,0.27,1
0.29,0.29,3
0.29,0.3,1
0.29,0.32,1
0.29,0.38,1
0.29,0.42,1
0.29,0.5,1
0.3,0,5
0.3,0.04,1
0.3,0.07,1
0.3,0.08,3
0.3,0.1,1
0.3,0.12,1
0.3,0.13,3
0.3,0.15,1
0.3,0.17,2
0.3,0.2,2
0.3,0.21,1
0.3,0.22,1
0.3,0.25,1
0.3,0.26,4
0.3,0.33,2
0.3,0.35,1
0.3,0.36,1
0.3,0.38,1
0.3,0.41,1
0.3,0.46,1
0.31,0,5
0.31,0.07,2
0.31,0.08,1
0.31,0.1,1
0.31,0.13,2
0.31,0.19,2
0.31,0.28,1
0.31,0.32,1
0.31,0.36,1
0.31,0.38,1
0.31,0.44,1
0.31,0.75,1
0.32,0,1
0.32,0.05,1
0.32,0.06,1
0.32,0.15,1
0.32,0.17,1
0.32,0.2,1
0.32,0.23,1
0.32,0.28,1
0.32,0.29,3
0.32,0.32,1
0.32,0.36,1
0.32,0.38,1
0.32,0.64,1
0.33,0,8
0.33,0.05,3
0.33,0.06,1
0.33,0.08,1
0.33,0.1,3
0.33,0.11,1
0.33,0.15,2
0.33,0.18,2
0.33,0.19,2
0.33,0.2,1
0.33,0.24,1
0.33,0.25,1
0.33,0.26,1
0.33,0.27,1
0.33,0.31,1
0.33,0.38,1
0.33,0.4,2
0.33,0.55,2
0.34,0,1
0.34,0.67,1
0.35,0.08,1
0.35,0.1,1
0.35,0.15,1
0.35,0.17,2
0.35,0.19,1
0.35,0.2,1
0.35,0.29,1
0.35,0.41,1
0.35,0.44,1
0.35,0.82,1
0.36,0,1
0.36,0.05,1
0.36,0.07,1
0.36,0.08,1
0.36,0.09,3
0.36,0.13,1
0.36,0.15,1
0.36,0.19,1
0.36,0.3,2
0.36,0.31,1
0.36,0.39,1
0.36,0.46,1
0.37,0.06,1
0.37,0.11,1
0.37,0.14,1
0.37,0.2,1
0.37,0.27,1
0.37,0.28,1
0.38,0,3
0.38,0.1,1
0.38,0.13,1
0.38,0.17,2
0.38,0.18,1
0.38,0.2,1
0.38,0.23,1
0.38,0.27,2
0.38,0.31,1
0.38,0.33,2
0.39,0.03,1
0.39,0.07,1
0.39,0.15,2
0.39,0.18,1
0.39,0.23,1
0.39,0.46,1
0.4,0,3
0.4,0.08,1
0.4,0.13,1
0.4,0.18,1
0.4,0.27,1
0.4,0.29,2
0.4,0.31,1
0.4,0.35,1
0.4,0.36,2
0.4,0.39,1
0.4,0.4,1
0.4,0.42,1
0.4,0.43,1
0.41,0,1
0.41,0.14,1
0.41,0.15,1
0.41,0.2,1
0.41,0.21,1
0.41,0.22,1
0.41,0.23,1
0.41,0.25,1
0.41,0.35,1
0.41,0.67,1
0.42,0.08,1
0.42,0.14,1
0.42,0.15,1
0.42,0.18,1
0.42,0.25,1
0.42,0.4,1
0.42,0.62,1
0.43,0,1
0.43,0.06,1
0.43,0.17,1
0.43,0.25,1
0.43,0.29,1
0.43,0.34,1
0.43,0.45,1
0.44,0,1
0.44,0.1,1
0.44,0.23,1
0.44,0.25,1
0.44,0.35,1
0.44,0.4,1
0.44,0.44,1
0.45,0.06,1
0.45,0.08,1
0.45,0.13,1
0.45,0.16,1
0.45,0.17,1
0.45,0.18,2
0.45,0.24,2
0.45,0.27,1
0.45,0.29,1
0.45,0.32,1
0.45,0.38,1
0.45,0.39,1
0.45,0.5,1
0.46,0.47,2
0.47,0.08,2
0.47,0.2,1
0.5,0,1
0.5,0.13,1
0.5,0.17,1
0.5,0.2,1
0.5,0.22,1
0.5,0.25,1
0.5,0.33,1
0.5,0.36,1
0.5,0.41,1
0.5,0.47,1
0.5,0.5,1
0.52,0.36,1
0.52,0.5,1
0.53,0.58,1
0.55,0.27,1
0.55,0.4,1
0.55,0.5,1
0.55,0.67,1
0.57,0.36,1
0.58,0.18,1
0.58,0.27,1
0.58,0.32,1
0.59,0.23,1
0.6,0.23,2
0.62,0.33,1
0.62,0.44,1
0.66,0.36,1
0.67,0.12,1
0.68,0.3,1
0.75,0.2,1
0.8,0.2,1
0.82,0.38,1
