Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_avg_coupling_size,cond_mean_diff_avg_coupling_size,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
67,ModifiedControlVariable,88.0,24550.0,369.0,8028.0,33035.0,0.75,0.25,0.01,0.19,-0.22,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.11,0.0,,20,12840,31,9637,22528,0.57,0.43,0.0,0.39,-0.09,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.02,0.0,,149.5139086203705,-45.997450277274886,False,0.0705572182552125,0.08999999999999997,449,43,1812,147544,1729,109795,260880,0.57,0.43,0.01,0.51,0.2,0.02,0.01,0.02,0.57,0.0,0.0,0.98,0.1,0.0,,23,27.0,12840.0,73.0,3594.0,16534.0,0.78,0.22,0.01,0.27,0.23,0.01,0.01,0.01,0.78,0.0,-0.0,0.76,0.05,0.0,,127,0.0,5136.0,3.0,3297.0,8436.0,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.0,0.0,,32,61.0,6574.0,293.0,1137.0,8065.0,0.82,0.15,0.04,0.17,0.16,0.05,0.04,0.04,0.82,0.0,-0.03,0.61,0.26,0.0,
68,CustomImportOrder,136.0,24341.0,578.0,7980.0,33035.0,0.74,0.25,0.02,0.19,-0.22,0.02,0.02,0.02,0.74,-0.0,-0.02,0.8,0.15,0.0,,25,12839,32,9632,22528,0.57,0.43,0.0,0.44,0.02,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.03,0.0,,228.96697020821145,33.45561131056604,False,-0.0027588962640051336,0.09999999999999998,490,52,103,149022,251,111504,260880,0.57,0.43,0.0,0.29,-0.32,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.01,0.0,,120,52.0,12616.0,297.0,3569.0,16534.0,0.77,0.22,0.02,0.15,-0.32,0.01,0.02,0.01,0.77,-0.0,-0.02,0.76,0.15,0.0,,87,72.0,4988.0,151.0,3225.0,8436.0,0.6,0.39,0.03,0.32,-0.17,0.02,0.03,0.02,0.6,-0.01,-0.02,0.97,0.18,0.0,,133,12.0,6737.0,130.0,1186.0,8065.0,0.84,0.15,0.02,0.08,-0.43,0.01,0.02,0.01,0.84,-0.0,-0.02,0.61,0.13,0.0,
69,ArrayTrailingComma,111.0,24448.0,471.0,8005.0,33035.0,0.74,0.25,0.02,0.19,-0.22,0.01,0.02,0.01,0.75,-0.0,-0.01,0.8,0.13,0.0,,72,12835,36,9585,22528,0.57,0.43,0.0,0.67,0.56,0.01,0.0,0.01,0.57,0.0,0.0,0.99,0.04,0.0,,132.43916227848044,-63.072196619164934,False,0.0782830459422313,0.06999999999999995,565,41,2802,145992,3281,108805,260880,0.57,0.43,0.02,0.46,0.08,0.03,0.02,0.02,0.57,0.0,-0.0,0.98,0.16,0.0,,29,44.0,12785.0,128.0,3577.0,16534.0,0.78,0.22,0.01,0.26,0.17,0.01,0.01,0.01,0.78,0.0,-0.01,0.76,0.08,0.0,,31,8.0,5130.0,9.0,3289.0,8436.0,0.61,0.39,0.0,0.47,0.2,0.0,0.0,0.0,0.61,0.0,-0.0,0.97,0.02,0.0,,65,59.0,6533.0,334.0,1139.0,8065.0,0.82,0.15,0.05,0.15,0.01,0.05,0.05,0.04,0.82,0.0,-0.04,0.61,0.28,0.0,
70,UnnecessaryParentheses,815.0,21422.0,3497.0,7301.0,33035.0,0.67,0.25,0.13,0.19,-0.23,0.1,0.14,0.07,0.69,-0.02,-0.11,0.8,0.56,0.0,,194,12605,266,9463,22528,0.57,0.43,0.02,0.42,-0.02,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.14,0.0,,166.42422490134643,-29.08713399629895,False,0.4866900768947269,0.07999999999999996,3107,272,8402,139060,10213,103205,260880,0.57,0.43,0.07,0.45,0.06,0.08,0.07,0.07,0.56,0.01,-0.01,0.98,0.37,0.0,,46,350.0,11732.0,1181.0,3271.0,16534.0,0.73,0.22,0.09,0.23,0.04,0.1,0.09,0.07,0.73,0.0,-0.06,0.76,0.45,0.0,,15,86.0,5082.0,57.0,3211.0,8436.0,0.61,0.39,0.02,0.6,0.54,0.03,0.01,0.03,0.61,0.01,0.01,0.97,0.12,0.0,,82,379.0,4608.0,2259.0,819.0,8065.0,0.62,0.15,0.33,0.14,-0.03,0.32,0.33,0.11,0.62,-0.01,-0.27,0.61,0.91,0.0,
71,FallThrough,41.0,24741.0,178.0,8075.0,33035.0,0.75,0.25,0.01,0.19,-0.24,0.01,0.01,0.0,0.75,-0.0,-0.01,0.8,0.06,0.0,,10,12859,12,9647,22528,0.57,0.43,0.0,0.45,0.06,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.01,0.0,,164.07676135832585,-31.434597539319554,False,0.043542628910079664,0.11,173,21,1599,147414,1859,110008,260880,0.57,0.43,0.01,0.46,0.08,0.01,0.01,0.01,0.57,0.0,-0.0,0.98,0.1,0.0,,25,15.0,12872.0,41.0,3606.0,16534.0,0.78,0.22,0.0,0.27,0.22,0.0,0.0,0.0,0.78,0.0,-0.0,0.76,0.03,0.0,,28,1.0,5138.0,1.0,3296.0,8436.0,0.61,0.39,0.0,0.5,0.28,0.0,0.0,0.0,0.61,0.0,0.0,0.97,0.0,0.0,,50,25.0,6731.0,136.0,1173.0,8065.0,0.84,0.15,0.02,0.16,0.05,0.02,0.02,0.02,0.84,0.0,-0.02,0.61,0.14,0.0,
72,TrailingComment,1328.0,19122.0,5797.0,6788.0,33035.0,0.62,0.25,0.22,0.19,-0.24,0.16,0.23,0.1,0.64,-0.04,-0.18,0.8,0.75,0.0,,388,12478,393,9269,22528,0.57,0.43,0.03,0.5,0.16,0.04,0.03,0.04,0.57,0.01,-0.0,0.99,0.22,0.0,,175.29915300062714,-20.212205897018237,False,0.14502761328623126,0.05000000000000005,5494,291,10434,137637,11636,101173,260880,0.57,0.43,0.08,0.47,0.11,0.09,0.08,0.08,0.56,0.01,-0.01,0.98,0.42,0.0,,86,546.0,10680.0,2233.0,3075.0,16534.0,0.68,0.22,0.17,0.2,-0.1,0.15,0.17,0.09,0.69,-0.01,-0.13,0.76,0.65,0.0,,40,103.0,5004.0,135.0,3194.0,8436.0,0.61,0.39,0.03,0.43,0.11,0.03,0.03,0.03,0.6,0.0,-0.01,0.97,0.19,0.0,,37,679.0,3438.0,3429.0,519.0,8065.0,0.51,0.15,0.51,0.17,0.11,0.57,0.5,0.15,0.49,0.03,-0.4,0.61,1.0,0.0,
73,MultipleStringLiterals,2385.0,14467.0,10452.0,5731.0,33035.0,0.51,0.25,0.39,0.19,-0.24,0.29,0.42,0.13,0.56,-0.08,-0.32,0.8,0.96,0.01,,573,12048,823,9084,22528,0.56,0.43,0.06,0.41,-0.04,0.06,0.06,0.05,0.56,-0.0,-0.02,0.99,0.34,0.0,,169.8878682866173,-25.62349061102805,False,0.3338142511088357,0.040000000000000036,10345,385,13547,127527,21746,98060,260880,0.54,0.43,0.14,0.38,-0.1,0.12,0.15,0.1,0.55,-0.02,-0.05,0.98,0.57,0.0,,74,1288.0,8144.0,4769.0,2333.0,16534.0,0.57,0.22,0.37,0.21,-0.03,0.36,0.37,0.15,0.58,-0.01,-0.27,0.76,0.95,0.0,,91,171.0,4767.0,372.0,3126.0,8436.0,0.59,0.39,0.06,0.31,-0.19,0.05,0.07,0.05,0.6,-0.02,-0.04,0.97,0.34,0.0,,72,926.0,1556.0,5311.0,272.0,8065.0,0.31,0.15,0.77,0.15,-0.0,0.77,0.77,0.14,0.31,-0.0,-0.64,0.61,0.77,0.0,
74,ParameterAssignment,681.0,21919.0,3000.0,7435.0,33035.0,0.68,0.25,0.11,0.19,-0.25,0.08,0.12,0.06,0.7,-0.02,-0.09,0.8,0.5,0.0,,126,12670,201,9531,22528,0.57,0.43,0.01,0.39,-0.1,0.01,0.02,0.01,0.57,-0.0,-0.01,0.99,0.11,0.0,,180.1791166424873,-15.33224225515812,False,0.1252665559709452,0.06000000000000005,3128,184,7600,142467,6806,104007,260880,0.58,0.43,0.06,0.53,0.23,0.07,0.05,0.06,0.56,0.02,0.01,0.98,0.31,0.0,,47,261.0,12033.0,880.0,3360.0,16534.0,0.74,0.22,0.07,0.23,0.04,0.07,0.07,0.06,0.74,0.0,-0.05,0.76,0.36,0.0,,52,23.0,5104.0,35.0,3274.0,8436.0,0.61,0.39,0.01,0.4,0.01,0.01,0.01,0.01,0.61,0.0,-0.0,0.97,0.06,0.0,,42,397.0,4782.0,2085.0,801.0,8065.0,0.64,0.15,0.31,0.16,0.08,0.33,0.3,0.12,0.64,0.01,-0.25,0.61,0.89,0.0,
75,CommentsIndentation,474.0,22833.0,2086.0,7642.0,33035.0,0.71,0.25,0.08,0.19,-0.25,0.06,0.08,0.05,0.71,-0.01,-0.06,0.8,0.39,0.0,,268,12509,362,9389,22528,0.57,0.43,0.03,0.43,-0.01,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.18,0.0,,269.9094866246637,74.39812772701839,False,0.18865339939690748,0.14,2396,387,3358,142690,6583,108249,260880,0.56,0.43,0.04,0.34,-0.21,0.03,0.04,0.03,0.57,-0.01,-0.02,0.98,0.23,0.0,,65,178.0,12262.0,651.0,3443.0,16534.0,0.75,0.22,0.05,0.21,-0.02,0.05,0.05,0.04,0.75,-0.0,-0.04,0.76,0.29,0.0,,71,22.0,5100.0,39.0,3275.0,8436.0,0.61,0.39,0.01,0.36,-0.08,0.01,0.01,0.01,0.61,-0.0,-0.0,0.97,0.06,0.0,,40,274.0,5471.0,1396.0,924.0,8065.0,0.71,0.15,0.21,0.16,0.1,0.23,0.2,0.11,0.71,0.01,-0.16,0.61,0.74,0.0,
76,OverloadMethodsDeclarationOrder,573.0,22363.0,2556.0,7543.0,33035.0,0.69,0.25,0.09,0.18,-0.25,0.07,0.1,0.05,0.71,-0.02,-0.08,0.8,0.45,0.0,,120,12670,201,9537,22528,0.57,0.43,0.01,0.37,-0.13,0.01,0.02,0.01,0.57,-0.0,-0.01,0.99,0.11,0.0,,162.53629466298906,-32.975064234656315,False,0.7048811835996962,0.06999999999999995,2728,196,6171,138536,10737,105436,260880,0.55,0.43,0.06,0.36,-0.15,0.06,0.07,0.05,0.56,-0.01,-0.03,0.98,0.35,0.0,,71,208.0,12145.0,768.0,3413.0,16534.0,0.75,0.22,0.06,0.21,-0.03,0.06,0.06,0.05,0.75,-0.0,-0.04,0.76,0.32,0.0,,92,15.0,5106.0,33.0,3282.0,8436.0,0.61,0.39,0.01,0.31,-0.2,0.0,0.01,0.0,0.61,-0.0,-0.0,0.97,0.05,0.0,,35,350.0,5112.0,1755.0,848.0,8065.0,0.68,0.15,0.26,0.17,0.12,0.29,0.26,0.12,0.67,0.01,-0.2,0.61,0.83,0.0,
77,OperatorWrap,948.0,20746.0,4173.0,7168.0,33035.0,0.66,0.25,0.16,0.19,-0.25,0.12,0.17,0.08,0.68,-0.03,-0.13,0.8,0.62,0.0,,263,12487,384,9394,22528,0.57,0.43,0.03,0.41,-0.05,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.19,0.0,,174.17512623358883,-21.336232664056578,False,0.2483670175194274,0.06000000000000005,4302,283,9411,138904,10369,102196,260880,0.57,0.43,0.08,0.48,0.11,0.08,0.07,0.08,0.56,0.01,-0.01,0.98,0.39,0.0,,82,416.0,11273.0,1640.0,3205.0,16534.0,0.71,0.22,0.12,0.2,-0.08,0.11,0.13,0.08,0.71,-0.01,-0.09,0.76,0.54,0.0,,19,155.0,5007.0,132.0,3142.0,8436.0,0.61,0.39,0.03,0.54,0.38,0.05,0.03,0.05,0.6,0.02,0.0,0.97,0.21,0.0,,97,377.0,4466.0,2401.0,821.0,8065.0,0.6,0.15,0.34,0.14,-0.09,0.31,0.35,0.1,0.61,-0.01,-0.29,0.61,0.93,0.0,
78,ReturnCount,1847.0,16630.0,8289.0,6269.0,33035.0,0.56,0.25,0.31,0.18,-0.26,0.23,0.33,0.11,0.6,-0.07,-0.26,0.8,0.89,0.01,,278,12441,430,9379,22528,0.56,0.43,0.03,0.39,-0.08,0.03,0.03,0.03,0.57,-0.0,-0.01,0.99,0.2,0.0,,166.99443030213166,-28.516928595513722,False,0.5683202399651038,0.040000000000000036,7822,286,12946,134045,15228,98661,260880,0.56,0.43,0.11,0.46,0.07,0.12,0.1,0.1,0.56,0.01,-0.02,0.98,0.49,0.0,,78,899.0,9441.0,3472.0,2722.0,16534.0,0.63,0.22,0.26,0.21,-0.06,0.25,0.27,0.13,0.63,-0.01,-0.2,0.76,0.83,0.0,,41,153.0,4935.0,204.0,3144.0,8436.0,0.6,0.39,0.04,0.43,0.1,0.05,0.04,0.04,0.6,0.01,-0.01,0.97,0.25,0.0,,75,795.0,2254.0,4613.0,403.0,8065.0,0.38,0.15,0.67,0.15,-0.01,0.66,0.67,0.14,0.38,-0.01,-0.56,0.61,0.91,0.0,
79,MethodParamPad,124.0,24348.0,571.0,7992.0,33035.0,0.74,0.25,0.02,0.18,-0.27,0.02,0.02,0.01,0.74,-0.0,-0.02,0.8,0.15,0.0,,44,12817,54,9613,22528,0.57,0.43,0.0,0.45,0.05,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.04,0.0,,127.08063613097904,-68.43072276666635,False,0.0607111750515648,0.12,514,72,2886,146519,2754,108721,260880,0.57,0.43,0.02,0.51,0.2,0.03,0.02,0.03,0.57,0.01,0.0,0.98,0.15,0.0,,33,60.0,12729.0,184.0,3561.0,16534.0,0.77,0.22,0.01,0.25,0.12,0.02,0.01,0.02,0.77,0.0,-0.01,0.76,0.11,0.0,,104,9.0,5109.0,30.0,3288.0,8436.0,0.61,0.39,0.0,0.23,-0.41,0.0,0.01,0.0,0.61,-0.0,-0.0,0.97,0.04,0.0,,99,55.0,6510.0,357.0,1143.0,8065.0,0.81,0.15,0.05,0.13,-0.1,0.05,0.05,0.04,0.82,-0.0,-0.04,0.61,0.29,0.0,
80,TypeName,60.0,24644.0,275.0,8056.0,33035.0,0.75,0.25,0.01,0.18,-0.27,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.08,0.0,,4,12866,5,9653,22528,0.57,0.43,0.0,0.44,0.04,0.0,0.0,0.0,0.57,0.0,-0.0,0.99,0.01,0.0,,134.74541346332285,-60.76594543432253,False,0.044866004050543015,0.020000000000000014,174,3,491,147552,1721,111116,260880,0.57,0.43,0.01,0.22,-0.48,0.0,0.01,0.0,0.57,-0.01,-0.01,0.98,0.07,0.0,,70,34.0,12788.0,125.0,3587.0,16534.0,0.78,0.22,0.01,0.21,-0.02,0.01,0.01,0.01,0.78,-0.0,-0.01,0.76,0.08,0.0,,51,14.0,5118.0,21.0,3283.0,8436.0,0.61,0.39,0.0,0.4,0.02,0.0,0.0,0.0,0.61,0.0,-0.0,0.97,0.04,0.0,,132,12.0,6738.0,129.0,1186.0,8065.0,0.84,0.15,0.02,0.09,-0.43,0.01,0.02,0.01,0.84,-0.0,-0.02,0.61,0.13,0.0,
81,MethodName,136.0,24297.0,622.0,7980.0,33035.0,0.74,0.25,0.02,0.18,-0.27,0.02,0.02,0.02,0.74,-0.0,-0.02,0.8,0.16,0.0,,22,12826,45,9635,22528,0.57,0.43,0.0,0.33,-0.23,0.0,0.0,0.0,0.57,-0.0,-0.0,0.99,0.03,0.0,,142.2658305287242,-53.245528368921185,False,0.2687824522731841,0.06000000000000005,600,35,1810,145711,3562,109797,260880,0.57,0.43,0.02,0.34,-0.21,0.02,0.02,0.02,0.57,-0.01,-0.01,0.98,0.14,0.0,,38,47.0,12764.0,149.0,3574.0,16534.0,0.77,0.22,0.01,0.24,0.09,0.01,0.01,0.01,0.77,0.0,-0.01,0.76,0.09,0.0,,112,2.0,5129.0,10.0,3295.0,8436.0,0.61,0.39,0.0,0.17,-0.57,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.02,0.0,,48,87.0,6404.0,463.0,1111.0,8065.0,0.8,0.15,0.07,0.16,0.06,0.07,0.07,0.05,0.8,0.0,-0.05,0.61,0.36,0.0,
82,JavadocParagraph,1146.0,19658.0,5261.0,6970.0,33035.0,0.63,0.25,0.19,0.18,-0.27,0.14,0.21,0.09,0.66,-0.04,-0.17,0.8,0.71,0.0,,351,12413,458,9306,22528,0.57,0.43,0.04,0.43,0.01,0.04,0.04,0.03,0.57,0.0,-0.01,0.99,0.22,0.0,,161.4893678818255,-34.02199101581988,False,0.1771002375584111,0.07999999999999996,5328,486,12349,136513,12760,99258,260880,0.57,0.43,0.1,0.49,0.15,0.11,0.09,0.1,0.56,0.02,-0.0,0.98,0.46,0.0,,93,546.0,10608.0,2305.0,3075.0,16534.0,0.67,0.22,0.17,0.19,-0.13,0.15,0.18,0.09,0.68,-0.01,-0.14,0.76,0.66,0.0,,80,220.0,4706.0,433.0,3077.0,8436.0,0.58,0.39,0.08,0.34,-0.14,0.07,0.08,0.06,0.59,-0.01,-0.04,0.97,0.39,0.0,,102,380.0,4344.0,2523.0,818.0,8065.0,0.59,0.15,0.36,0.13,-0.12,0.32,0.37,0.1,0.6,-0.02,-0.31,0.61,0.94,0.0,
83,VariableDeclarationUsageDistance,590.0,22218.0,2701.0,7526.0,33035.0,0.69,0.25,0.1,0.18,-0.27,0.07,0.11,0.05,0.7,-0.02,-0.08,0.8,0.47,0.0,,193,12627,244,9464,22528,0.57,0.43,0.02,0.44,0.03,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.14,0.0,,173.2381139985532,-22.273244899092163,False,0.20407302522344298,0.08999999999999997,2813,273,5356,142343,6930,106251,260880,0.57,0.43,0.05,0.44,0.02,0.05,0.05,0.05,0.57,0.0,-0.01,0.98,0.27,0.0,,37,253.0,12109.0,804.0,3368.0,16534.0,0.75,0.22,0.06,0.24,0.09,0.07,0.06,0.06,0.75,0.0,-0.04,0.76,0.34,0.0,,103,9.0,5110.0,29.0,3288.0,8436.0,0.61,0.39,0.0,0.24,-0.39,0.0,0.01,0.0,0.61,-0.0,-0.0,0.97,0.04,0.0,,66,328.0,4999.0,1868.0,870.0,8065.0,0.66,0.15,0.27,0.15,0.01,0.27,0.27,0.11,0.66,0.0,-0.22,0.61,0.84,0.0,
84,ExecutableStatementCount,1173.0,19364.0,5555.0,6943.0,33035.0,0.62,0.25,0.2,0.17,-0.29,0.14,0.22,0.09,0.65,-0.04,-0.18,0.8,0.73,0.01,,177,12579,292,9480,22528,0.57,0.43,0.02,0.38,-0.12,0.02,0.02,0.02,0.57,-0.0,-0.01,0.99,0.15,0.0,,157.6879920955554,-37.82336680208999,False,0.4964445288361611,0.040000000000000036,5661,252,10526,133902,15371,101081,260880,0.55,0.43,0.1,0.41,-0.05,0.09,0.1,0.08,0.56,-0.01,-0.03,0.98,0.47,0.0,,76,457.0,11194.0,1719.0,3164.0,16534.0,0.7,0.22,0.13,0.21,-0.04,0.13,0.13,0.09,0.71,-0.0,-0.1,0.76,0.56,0.0,,113,2.0,5128.0,11.0,3295.0,8436.0,0.61,0.39,0.0,0.15,-0.61,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.02,0.0,,49,714.0,3042.0,3825.0,484.0,8065.0,0.47,0.15,0.56,0.16,0.06,0.6,0.56,0.14,0.46,0.02,-0.45,0.61,0.99,0.0,
85,InnerTypeLast,601.0,22039.0,2880.0,7515.0,33035.0,0.69,0.25,0.11,0.17,-0.3,0.07,0.12,0.05,0.7,-0.02,-0.09,0.8,0.49,0.0,,219,12619,252,9438,22528,0.57,0.43,0.02,0.46,0.08,0.02,0.02,0.02,0.57,0.0,-0.0,0.99,0.15,0.0,,131.1913107173863,-64.32004818025908,False,0.5533627336094781,0.06000000000000005,2952,195,7662,141257,8016,103945,260880,0.57,0.43,0.06,0.49,0.14,0.07,0.05,0.06,0.56,0.01,-0.0,0.98,0.33,0.0,,69,251.0,11992.0,921.0,3370.0,16534.0,0.74,0.22,0.07,0.21,-0.02,0.07,0.07,0.06,0.74,-0.0,-0.05,0.76,0.37,0.0,,12,55.0,5107.0,32.0,3242.0,8436.0,0.61,0.39,0.01,0.63,0.62,0.02,0.01,0.02,0.61,0.01,0.0,0.97,0.08,0.0,,100,295.0,4940.0,1927.0,903.0,8065.0,0.65,0.15,0.28,0.13,-0.11,0.25,0.28,0.09,0.66,-0.01,-0.24,0.61,0.85,0.0,
86,NestedIfDepth,1152.0,19416.0,5503.0,6964.0,33035.0,0.62,0.25,0.2,0.17,-0.3,0.14,0.22,0.08,0.65,-0.04,-0.17,0.8,0.72,0.01,,336,12441,430,9321,22528,0.57,0.43,0.03,0.44,0.02,0.03,0.03,0.03,0.57,0.0,-0.01,0.99,0.21,0.0,,161.9971204683449,-33.51423842930052,False,0.27360260886439025,0.040000000000000036,5661,254,9765,136373,12900,101842,260880,0.56,0.43,0.09,0.43,0.01,0.09,0.09,0.08,0.56,0.0,-0.02,0.98,0.43,0.0,,72,472.0,11173.0,1740.0,3149.0,16534.0,0.7,0.22,0.13,0.21,-0.03,0.13,0.13,0.09,0.71,-0.0,-0.1,0.76,0.57,0.0,,69,20.0,5104.0,35.0,3277.0,8436.0,0.61,0.39,0.01,0.36,-0.07,0.01,0.01,0.01,0.61,-0.0,-0.0,0.97,0.06,0.0,,62,660.0,3139.0,3728.0,538.0,8065.0,0.47,0.15,0.54,0.15,0.01,0.55,0.54,0.13,0.47,0.0,-0.45,0.61,0.99,0.0,
87,CyclomaticComplexity,1344.0,18312.0,6607.0,6772.0,33035.0,0.6,0.25,0.24,0.17,-0.31,0.17,0.27,0.09,0.63,-0.06,-0.21,0.8,0.8,0.01,,236,12525,346,9421,22528,0.57,0.43,0.03,0.41,-0.05,0.02,0.03,0.02,0.57,-0.0,-0.01,0.99,0.17,0.0,,161.73549047873257,-33.77586841891281,False,0.6003370752865165,0.040000000000000036,6614,257,11334,134277,14996,100273,260880,0.56,0.43,0.1,0.43,0.01,0.1,0.1,0.09,0.56,0.0,-0.02,0.98,0.47,0.0,,84,558.0,10683.0,2230.0,3063.0,16534.0,0.68,0.22,0.17,0.2,-0.09,0.15,0.17,0.1,0.69,-0.01,-0.13,0.76,0.65,0.0,,111,6.0,5109.0,30.0,3291.0,8436.0,0.61,0.39,0.0,0.17,-0.57,0.0,0.01,0.0,0.61,-0.0,-0.0,0.97,0.04,0.0,,57,780.0,2520.0,4347.0,418.0,8065.0,0.41,0.15,0.64,0.15,0.02,0.65,0.63,0.14,0.4,0.01,-0.52,0.61,0.95,0.0,
88,MissingSwitchDefault,304.0,23428.0,1491.0,7812.0,33035.0,0.72,0.25,0.05,0.17,-0.31,0.04,0.06,0.03,0.73,-0.01,-0.05,0.8,0.3,0.0,,64,12785,86,9593,22528,0.57,0.43,0.01,0.43,-0.0,0.01,0.01,0.01,0.57,-0.0,-0.0,0.99,0.06,0.0,,151.76984373468045,-43.741515162964895,False,0.20858976099712515,0.06000000000000005,1512,95,5178,144023,5250,106429,260880,0.57,0.43,0.04,0.5,0.16,0.05,0.04,0.04,0.57,0.01,-0.0,0.98,0.24,0.0,,79,119.0,12455.0,458.0,3502.0,16534.0,0.76,0.22,0.03,0.21,-0.06,0.03,0.04,0.03,0.76,-0.0,-0.03,0.76,0.22,0.0,,102,8.0,5114.0,25.0,3289.0,8436.0,0.61,0.39,0.0,0.24,-0.38,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.04,0.0,,63,177.0,5859.0,1008.0,1021.0,8065.0,0.75,0.15,0.15,0.15,0.01,0.15,0.15,0.08,0.75,0.0,-0.12,0.61,0.6,0.0,
89,EmptyStatement,53.0,24658.0,261.0,8063.0,33035.0,0.75,0.25,0.01,0.17,-0.31,0.01,0.01,0.01,0.75,-0.0,-0.01,0.8,0.08,0.0,,36,12841,30,9621,22528,0.57,0.43,0.0,0.55,0.27,0.0,0.0,0.0,0.57,0.0,0.0,0.99,0.03,0.0,,206.0505278133393,10.539168915693919,False,0.15811671923211876,0.23,217,64,408,148127,1146,111199,260880,0.57,0.43,0.01,0.26,-0.39,0.0,0.01,0.0,0.57,-0.0,-0.0,0.98,0.05,0.0,,49,19.0,12847.0,66.0,3602.0,16534.0,0.78,0.22,0.01,0.22,0.02,0.01,0.01,0.01,0.78,0.0,-0.0,0.76,0.05,0.0,,145,0.0,5136.0,3.0,3297.0,8436.0,0.61,0.39,0.0,0.0,-1.0,0.0,0.0,0.0,0.61,-0.0,-0.0,0.97,0.0,0.0,,61,34.0,6675.0,192.0,1164.0,8065.0,0.83,0.15,0.03,0.15,0.01,0.03,0.03,0.02,0.83,0.0,-0.02,0.61,0.18,0.0,
