,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,comment
45,MethodTypeParameterName,3,10872,7,11172,22054,0.49,0.51,0.0,0.3,-0.41,0.0,0.0,0.0,0.49,-0.0,-0.03,
23,IllegalImport,2,10874,5,11173,22054,0.49,0.51,0.0,0.29,-0.44,0.0,0.0,0.0,0.49,-0.0,-0.03,
13,NoFinalizer,2,10874,5,11173,22054,0.49,0.51,0.0,0.29,-0.44,0.0,0.0,0.0,0.49,-0.0,-0.03,
109,MissingOverride,5,10865,14,11170,22054,0.49,0.51,0.0,0.26,-0.48,0.0,0.0,0.0,0.49,-0.0,-0.03,
37,ClassTypeParameterName,1,10876,3,11174,22054,0.49,0.51,0.0,0.25,-0.51,0.0,0.0,0.0,0.49,-0.0,-0.03,
81,NoLineWrap,1,10876,3,11174,22054,0.49,0.51,0.0,0.25,-0.51,0.0,0.0,0.0,0.49,-0.0,-0.03,
128,CovariantEquals,0,10878,1,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,-0.0,-0.03,
11,ImportControl,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,
26,MissingJavadocPackage,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,
39,OuterTypeFilename,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,
90,PackageName,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,
84,Regexp,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,
116,RegexpOnFilename,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,
74,SuperFinalize,0,10877,2,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,-0.0,-0.03,
102,SuppressWarnings,0,10879,0,11175,22054,0.49,0.51,0.0,0.0,-1.0,0.0,0.0,0.0,0.49,0.0,-0.03,
