repo_name,year,Sum_of_Smells,file,MethodLength,NPathComplexity,AvoidInlineConditionals,NestedIfDepth,VisibilityModifier,ccp
Erudika/scoold,2018,1776.0,5,0.0,1.0,18.0,8.0,0.0,0.34992549019607844
Erudika/scoold,2019,3209.0,6,0.0,2.0,39.0,15.0,0.0,0.3073047210300429
Esri/arcgis-runtime-samples-android,2017,159.0,1,0.0,0.0,0.0,0.0,0.0,0.05766381766381765
Esri/arcgis-runtime-samples-android,2018,163.0,1,0.0,0.0,0.0,1.0,0.0,0.11754722222222222
FAForever/downlords-faf-client,2017,9859.0,27,0.0,1.0,9.0,0.0,141.0,0.6607341772151898
FAForever/downlords-faf-client,2018,6908.0,12,0.0,1.0,5.0,0.0,128.0,0.5942107438016528
FAForever/downlords-faf-client,2019,2303.0,3,0.0,2.0,0.0,4.0,16.0,0.6747525252525252
FINRAOS/herd,2017,14870.0,90,0.0,10.0,44.0,19.0,2.0,0.185
FINRAOS/herd,2018,13229.0,51,0.0,6.0,45.0,17.0,1.0,0.13345833333333332
FINRAOS/herd,2019,11845.0,33,0.0,11.0,54.0,19.0,1.0,0.1154705882352941
FabioZumbi12/RedProtect,2018,36923.0,42,20.0,88.0,40.0,875.0,54.0,0.5789478260869564
FabioZumbi12/RedProtect,2019,13668.0,44,19.0,71.0,39.0,880.0,185.0,0.3810457516339869
FenixEdu/fenixedu-academic,2017,6999.0,13,1.0,7.0,231.0,22.0,47.0,0.5561933701657458
FenixEdu/fenixedu-academic,2018,822.0,3,0.0,0.0,16.0,0.0,3.0,0.6112888888888888
FenixEdu/fenixedu-academic,2019,606.0,1,0.0,0.0,10.0,0.0,2.0,0.6653866666666665
Flash3388/FlashLib,2017,17938.0,59,0.0,12.0,26.0,11.0,52.0,0.13684848484848486
Flash3388/FlashLib,2018,5821.0,16,0.0,4.0,4.0,8.0,17.0,-0.0014058823529411804
Flash3388/FlashLib,2019,85.0,1,0.0,0.0,0.0,0.0,0.0,0.17752225519287831
Flipkart/foxtrot,2017,1120.0,14,0.0,0.0,6.0,0.0,0.0,0.37145375
Flipkart/foxtrot,2018,3448.0,43,2.0,3.0,27.0,3.0,5.0,0.3655968819599109
Flipkart/foxtrot,2019,7369.0,89,2.0,3.0,38.0,3.0,3.0,0.4609032258064517
FreeCol/freecol,2017,25883.0,131,28.0,91.0,885.0,175.0,128.0,0.19365354330708656
FreeCol/freecol,2018,3999.0,5,1.0,10.0,95.0,13.0,6.0,0.03139896373056993
FreeCol/freecol,2019,23879.0,48,29.0,110.0,952.0,208.0,137.0,0.15047863247863247
GerritCodeReview/gerrit,2017,120116.0,471,15.0,130.0,409.0,132.0,766.0,0.4608140939597316
GerritCodeReview/gerrit,2018,82798.0,219,8.0,87.0,246.0,83.0,302.0,0.39953659180977535
GerritCodeReview/gerrit,2019,99061.0,319,10.0,112.0,334.0,95.0,510.0,0.42247354875607657
GerritCodeReview/plugins_quota,2019,202.0,1,0.0,0.0,0.0,0.0,0.0,0.2468632478632478
GerritCodeReview/plugins_replication,2017,1266.0,2,0.0,1.0,4.0,4.0,2.0,0.4260882352941176
GerritCodeReview/plugins_replication,2018,1356.0,3,0.0,3.0,4.0,3.0,0.0,0.29784
GerritCodeReview/plugins_replication,2019,2225.0,7,0.0,3.0,8.0,4.0,2.0,0.44297916666666665
GerritCodeReview/plugins_reviewers,2017,268.0,2,0.0,0.0,0.0,0.0,1.0,0.05363829787234042
GerritCodeReview/plugins_reviewers,2018,60.0,1,0.0,0.0,1.0,0.0,0.0,0.14278125
GluuFederation/oxAuth,2017,15674.0,96,8.0,22.0,47.0,178.0,7.0,0.21064341085271315
GluuFederation/oxAuth,2018,8096.0,27,7.0,18.0,32.0,128.0,0.0,0.30636902485659656
GluuFederation/oxAuth,2019,5271.0,22,8.0,15.0,14.0,150.0,0.0,0.34906915629322266
GluuFederation/oxCore,2017,4157.0,10,0.0,4.0,2.0,9.0,9.0,0.22080370370370367
GluuFederation/oxCore,2018,3823.0,10,0.0,2.0,22.0,4.0,9.0,0.334984771573604
GluuFederation/oxTrust,2017,38015.0,136,6.0,33.0,53.0,110.0,49.0,0.24093228536880285
GluuFederation/oxTrust,2018,24595.0,58,2.0,15.0,32.0,35.0,13.0,0.2611424501424501
GluuFederation/oxTrust,2019,34424.0,96,0.0,28.0,35.0,60.0,22.0,0.2919269662921348
GoldRenard/JuniperBotJ,2017,2360.0,31,1.0,5.0,47.0,16.0,5.0,0.16248407643312102
GoldRenard/JuniperBotJ,2019,4357.0,73,0.0,19.0,61.0,44.0,33.0,0.2315641025641025
GoldenGnu/jeveassets,2017,33724.0,82,9.0,46.0,12.0,98.0,12.0,0.5312208588957055
GoldenGnu/jeveassets,2018,25981.0,33,11.0,30.0,10.0,65.0,5.0,0.4084447592067989
GoldenGnu/jeveassets,2019,26469.0,41,9.0,28.0,26.0,56.0,7.0,0.38771034482758615
GoogleCloudPlatform/cloud-opensource-java,2018,1400.0,4,0.0,0.0,4.0,1.0,2.0,0.2887272727272727
GoogleCloudPlatform/cloud-opensource-java,2019,1206.0,5,0.0,0.0,2.0,1.0,2.0,0.18378740157480314
GoogleCloudPlatform/java-docs-samples,2017,298.0,3,0.0,0.0,2.0,0.0,0.0,0.19384368308351174
GoogleCloudPlatform/java-docs-samples,2018,373.0,1,0.0,0.0,1.0,0.0,0.0,0.3229
GoogleCloudPlatform/storage-sdrs,2019,6774.0,59,0.0,2.0,18.0,10.0,22.0,0.14537074148296594
