,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
69,AtclauseOrder,287.0,24143.0,1361.0,7244.0,33035.0,0.74,0.23,0.05,0.17,-0.24,0.04,0.05,0.03,0.74,-0.01,-0.04,0.77,0.29,0.0,
70,TrailingComment,1212.0,19591.0,5913.0,6319.0,33035.0,0.63,0.23,0.22,0.17,-0.25,0.16,0.23,0.09,0.65,-0.04,-0.18,0.77,0.75,0.0,
71,DeclarationOrder,1504.0,18158.0,7346.0,6027.0,33035.0,0.6,0.23,0.27,0.17,-0.25,0.2,0.29,0.1,0.63,-0.05,-0.23,0.77,0.84,0.01,
72,NPathComplexity,967.0,20731.0,4773.0,6564.0,33035.0,0.66,0.23,0.17,0.17,-0.26,0.13,0.19,0.08,0.68,-0.03,-0.15,0.77,0.67,0.0,
73,NestedIfDepth,1118.0,19967.0,5537.0,6413.0,33035.0,0.64,0.23,0.2,0.17,-0.26,0.15,0.22,0.09,0.66,-0.04,-0.17,0.77,0.72,0.0,
74,OperatorWrap,861.0,21244.0,4260.0,6670.0,33035.0,0.67,0.23,0.16,0.17,-0.26,0.11,0.17,0.07,0.69,-0.03,-0.13,0.77,0.62,0.0,
75,StaticVariableName,161.0,24714.0,790.0,7370.0,33035.0,0.75,0.23,0.03,0.17,-0.26,0.02,0.03,0.02,0.76,-0.0,-0.02,0.77,0.19,0.0,
76,CyclomaticComplexity,1321.0,18874.0,6630.0,6210.0,33035.0,0.61,0.23,0.24,0.17,-0.27,0.18,0.26,0.09,0.64,-0.05,-0.21,0.77,0.8,0.01,
77,ClassFanOutComplexity,1528.0,17834.0,7670.0,6003.0,33035.0,0.59,0.23,0.28,0.17,-0.27,0.2,0.3,0.1,0.62,-0.06,-0.24,0.77,0.85,0.01,
78,SingleSpaceSeparator,669.0,22168.0,3336.0,6862.0,33035.0,0.69,0.23,0.12,0.17,-0.27,0.09,0.13,0.06,0.71,-0.02,-0.1,0.77,0.53,0.0,
79,DefaultComesLast,16.0,25424.0,80.0,7515.0,33035.0,0.77,0.23,0.0,0.17,-0.27,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.03,0.0,
80,RedundantModifier,476.0,23114.0,2390.0,7055.0,33035.0,0.71,0.23,0.09,0.17,-0.27,0.06,0.09,0.05,0.72,-0.01,-0.08,0.77,0.43,0.0,
81,AnnotationLocation,89.0,25050.0,454.0,7442.0,33035.0,0.76,0.23,0.02,0.16,-0.28,0.01,0.02,0.01,0.76,-0.0,-0.01,0.77,0.12,0.0,
82,OverloadMethodsDeclarationOrder,503.0,22878.0,2626.0,7028.0,33035.0,0.71,0.23,0.09,0.16,-0.29,0.07,0.1,0.05,0.72,-0.02,-0.08,0.77,0.45,0.0,
83,UnusedImports,301.0,23955.0,1549.0,7230.0,33035.0,0.73,0.23,0.06,0.16,-0.29,0.04,0.06,0.03,0.74,-0.01,-0.05,0.77,0.31,0.0,
84,AbbreviationAsWordInName,214.0,24401.0,1103.0,7317.0,33035.0,0.75,0.23,0.04,0.16,-0.29,0.03,0.04,0.02,0.75,-0.01,-0.03,0.77,0.24,0.0,
85,SingleLineJavadoc,71.0,25136.0,368.0,7460.0,33035.0,0.76,0.23,0.01,0.16,-0.29,0.01,0.01,0.01,0.76,-0.0,-0.01,0.77,0.1,0.0,
86,NoWhitespaceBefore,173.0,24590.0,914.0,7358.0,33035.0,0.75,0.23,0.03,0.16,-0.3,0.02,0.04,0.02,0.75,-0.01,-0.03,0.77,0.21,0.0,
87,IllegalType,263.0,24111.0,1393.0,7268.0,33035.0,0.74,0.23,0.05,0.16,-0.3,0.03,0.05,0.03,0.74,-0.01,-0.04,0.77,0.29,0.0,
88,JavadocMethod,1387.0,18155.0,7349.0,6144.0,33035.0,0.59,0.23,0.26,0.16,-0.3,0.18,0.29,0.09,0.63,-0.06,-0.23,0.77,0.83,0.01,
89,IllegalCatch,1044.0,20001.0,5503.0,6487.0,33035.0,0.64,0.23,0.2,0.16,-0.3,0.14,0.22,0.08,0.66,-0.04,-0.17,0.77,0.72,0.01,
90,MethodName,119.0,24865.0,639.0,7412.0,33035.0,0.76,0.23,0.02,0.16,-0.31,0.02,0.03,0.01,0.76,-0.0,-0.02,0.77,0.16,0.0,
91,CommentsIndentation,405.0,23349.0,2155.0,7126.0,33035.0,0.72,0.23,0.08,0.16,-0.31,0.05,0.08,0.04,0.73,-0.01,-0.07,0.77,0.39,0.0,
92,ParameterNumber,393.0,23393.0,2111.0,7138.0,33035.0,0.72,0.23,0.08,0.16,-0.31,0.05,0.08,0.04,0.73,-0.01,-0.07,0.77,0.39,0.0,
93,MultipleVariableDeclarations,182.0,24532.0,972.0,7349.0,33035.0,0.75,0.23,0.03,0.16,-0.31,0.02,0.04,0.02,0.75,-0.01,-0.03,0.77,0.22,0.0,
