,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
104,StaticVariableName,253.0,23686.0,698.0,8398.0,33035.0,0.72,0.26,0.03,0.27,0.02,0.03,0.03,0.03,0.72,0.0,-0.02,0.83,0.19,0.0,
105,FileTabCharacter,2168.0,18421.0,5963.0,6483.0,33035.0,0.62,0.26,0.25,0.27,0.02,0.25,0.24,0.15,0.62,0.0,-0.16,0.83,0.81,0.0,
106,UnusedImports,490.0,23024.0,1360.0,8161.0,33035.0,0.71,0.26,0.06,0.26,0.01,0.06,0.06,0.05,0.71,0.0,-0.04,0.83,0.31,0.0,
107,MissingDeprecated,232.0,23726.0,658.0,8419.0,33035.0,0.73,0.26,0.03,0.26,-0.0,0.03,0.03,0.02,0.73,-0.0,-0.02,0.83,0.18,0.0,
108,NoClone,48.0,24248.0,136.0,8603.0,33035.0,0.74,0.26,0.01,0.26,-0.0,0.01,0.01,0.01,0.74,-0.0,-0.0,0.83,0.05,0.0,
109,ImportControl,8648.0,13.0,24371.0,3.0,33035.0,0.26,0.26,1.0,0.26,0.0,1.0,1.0,0.26,0.26,0.0,-0.64,0.83,0.01,0.0,
110,AnnotationUseStyle,219.0,23767.0,617.0,8432.0,33035.0,0.73,0.26,0.03,0.26,0.0,0.03,0.03,0.02,0.73,0.0,-0.02,0.83,0.17,0.0,
111,EmptyStatement,81.0,24151.0,233.0,8570.0,33035.0,0.73,0.26,0.01,0.26,-0.01,0.01,0.01,0.01,0.73,-0.0,-0.01,0.83,0.08,0.0,
112,NeedBraces,1543.0,19956.0,4428.0,7108.0,33035.0,0.65,0.26,0.18,0.26,-0.01,0.18,0.18,0.12,0.65,-0.0,-0.12,0.83,0.68,0.0,
113,MissingJavadocMethod,6002.0,7008.0,17376.0,2649.0,33035.0,0.39,0.26,0.71,0.26,-0.02,0.69,0.71,0.23,0.4,-0.02,-0.47,0.83,0.87,0.0,
114,StringLiteralEquality,22.0,24320.0,64.0,8629.0,33035.0,0.74,0.26,0.0,0.26,-0.02,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.03,0.0,
115,MissingCtor,3229.0,14838.0,9546.0,5422.0,33035.0,0.55,0.26,0.39,0.25,-0.03,0.37,0.39,0.18,0.55,-0.01,-0.26,0.83,0.96,0.0,
