feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
EqualsHashCode,9,13391,69,9059,22528,0.59,0.4,0.0,0.12,-0.71,0.0,0.01,0.0,0.6,-0.0,-0.0,0.97,0.03,0.0,
UncommentedMain,1,13451,9,9067,22528,0.6,0.4,0.0,0.1,-0.75,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
CovariantEquals,0,13459,1,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
IllegalImport,0,13453,7,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
IllegalThrows,0,13454,6,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
ImportControl,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
LambdaParameterName,0,13456,4,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
MissingJavadocPackage,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
OuterTypeFilename,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
PackageName,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
Regexp,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
RegexpOnFilename,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
SuppressWarnings,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
UnnecessarySemicolonInTryWithResources,0,13458,2,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,
